person_id,name_cn,english_name_candidate,academy_memberships,first_domestic_academician_year,election_division,election_affiliation,official_homepage_url,verified_doi,verified_title,verified_journal,verified_year,verified_confidence,audit_status,candidate_doi,candidate_title,candidate_evidence,recommended_search_query
ACAD00132,倪晋仁,Jinren Ni,CAS,2015,技术科学部,北京大学,https://casad.cas.cn/ysxx2022/ysmd/jskx/201512/t20151224_4502694.html,10.2175/106143007X183790,Modification of Chemical Oxygen Demand Monitoring in the Yellow River,Water Environment Research,2007,A,已核验/已有 DOI,,,,Jinren Ni | 北京大学 | 技术科学部 | English journal DOI
ACAD00134,傅伯杰,Bojie Fu,CAS,2011,地学部,中国科学院生态环境中心,https://casad.cas.cn/ysxx2022/ysmd/dxb/201112/t20111213_3412380.html,10.1038/s41558-022-01432-3,Biophysical and economic constraints on China’s natural climate solutions,Nature Climate Change,2022,A,已核验/已有 DOI,,,,Bojie Fu | 中国科学院生态环境中心 | 地学部 | English journal DOI
ACAD00136,傅家谟,Jiamo Fu,CAS,1991,地学部,中国科学院地球化学研究所广州分部,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1804449.html,10.1021/es9038648,Identification of Hydroxylated Octa- and Nona-Bromodiphenyl Ethers,Environmental Science & Technology,2010,A,已核验/已有 DOI,,,,Jiamo Fu | 中国科学院地球化学研究所广州分部 | 地学部 | English journal DOI
ACAD00142,元英进,Yingjin Yuan,CAS,2021,化学部,天津大学,https://casad.cas.cn/ysxx2022/ysmd/hxb/202201/t20220111_4821751.html,10.1126/science.aaf4704,“Perfect” designer chromosome V and behavior of a ring derivative,Science,2017,A,已核验/已有 DOI,,,,Yingjin Yuan | 天津大学 | 化学部 | English journal DOI
ACAD00151,冯士筰,Shizuo Feng,CAS,1997,地学部,中国海洋大学,https://casad.cas.cn/ysxx2022/ysmd/dxb/200906/t20090624_1804457.html,10.1029/2025MS005414,Numerical Decomposition of the Governing Equation for Lagrangian Residual Velocity,Journal of Advances in Modeling Earth Systems,2026,A,已核验/已有 DOI,,,,Shizuo Feng | 中国海洋大学 | 地学部 | English journal DOI
ACAD00153,冯守华,Shouhua Feng,CAS,2005,化学部,吉林大学,https://casad.cas.cn/ysxx2022/ysmd/hxb/200906/t20090624_1802309.html,10.1016/j.chempr.2020.06.033,Magnetic-Field-Regulated TiO2 {100} Facets: A Strategy for C-C Coupling in CO2 Photocatalytic Conversion,Chem,2020,A,已核验/已有 DOI,,,,Shouhua Feng | 吉林大学 | 化学部 | English journal DOI
ACAD00155,冯小明,Xiaoming Feng,CAS,2013,化学部,四川大学,https://casad.cas.cn/ysxx2022/ysmd/hxb/201312/t20131219_4001999.html,10.1021/acs.orglett.6c01205,"2,3-Diaryl Indanone Construction via the Neophyl Rearrangement",Organic Letters,2026,A,已核验/已有 DOI,,,,Xiaoming Feng | 四川大学 | 化学部 | English journal DOI
ACAD00158,冯登国,Dengguo Feng,CAS,2019,信息技术科学部,北京信息科学技术研究院,https://casad.cas.cn/ysxx2022/ysmd/xxjs/201911/t20191121_4724697.html,10.4218/etrij.09.0209.0026,Security Flaws in Authentication Protocols with Anonymity for Wireless Environments,ETRI Journal,2009,A,已核验/已有 DOI,,,,Dengguo Feng | 北京信息科学技术研究院 | 信息技术科学部 | English journal DOI
ACAD00161,冷劲松,Jinsong Leng,CAS,2021,技术科学部,哈尔滨工业大学,https://casad.cas.cn/ysxx2022/ysmd/jskx/202201/t20220111_4821803.html,10.1016/j.compscitech.2021.108899,Multi-performance shape memory epoxy resins and their composites with narrow transition temperature range,Composites Science and Technology,2021,A,已核验/已有 DOI,,,,Jinsong Leng | 哈尔滨工业大学 | 技术科学部 | English journal DOI
ACAD00162,冼鼎昌,Dingchang Xian,CAS,1991,数学物理学部,中国科学院高能物理研究所,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1791992.html,10.1080/08940889108602623,BSRL: Now in operation,Synchrotron Radiation News,1991,A,已核验/已有 DOI,,,,Dingchang Xian | 中国科学院高能物理研究所 | 数学物理学部 | English journal DOI
ACAD00167,刘丛强,Congqiang Liu,CAS,2011,地学部,中国科学院地球化学所,https://casad.cas.cn/ysxx2022/ysmd/dxb/201112/t20111213_3412385.html,10.2116/analsci.23.1291,"The Use of 3-(2-Pyridyl)-5,6-diphenyl-1,2,4-triazine",Analytical Sciences,2007,A,已核验/已有 DOI,,,,Congqiang Liu | 中国科学院地球化学所 | 地学部 | English journal DOI
ACAD00169,刘买利,Maili Liu,CAS,2021,化学部,中国科学院精密测量科学与技术创新研究院,https://casad.cas.cn/ysxx2022/ysmd/hxb/202201/t20220111_4821745.html,10.1021/ac303726p,NASR: An Effective Approach for Simultaneous Noise and Artifact Suppression in NMR Spectroscopy,Analytical Chemistry,2013,A,已核验/已有 DOI,,,,Maili Liu | 中国科学院精密测量科学与技术创新研究院 | 化学部 | English journal DOI
